id,role_label,experience_years,education_level,degree,skills,certifications,projects_summary,professional_summary,source
RES-0586,Data Scientist,3,Associate's,M.Sc. Statistics,Python|Scikit-learn|Jupyter|Machine Learning|SQL|AWS SageMaker|Bayesian Statistics|Git,AWS Machine Learning Specialty|IBM Data Science Professional,Published research on Data Visualisation applied to time-series forecasting. // Automated ETL pipelines reducing manual data preparation by 50%.,"Data scientist with 3 years transforming raw data into actionable insights using AWS SageMaker, Scikit-learn, Git.",synthetic
RES-0051,Backend Developer,7,Bootcamp/Certification,B.Tech Information Technology,Docker|Django|FastAPI|Go|Python|GCP|C#|PostgreSQL|MySQL|REST API|Apache Kafka|Terraform|JWT|OAuth2|Jenkins|Nginx,Oracle Java SE|AWS Certified Developer,"Led migration of monolith to microservices, reducing deployment time by 26%.","Experienced server-side developer specialising in Terraform, Nginx, Django with 7 years of professional experience.",public_profile_anonymized
RES-0564,Data Scientist,3,Bachelor's,M.Sc. Data Science,Matplotlib|NumPy|Deep Learning|Python|Statistics|Natural Language Processing|SQL|Scikit-learn|PyTorch|Bayesian Statistics|Model Deployment|Hypothesis Testing|Docker|dbt,IBM Data Science Professional|Databricks Certified Associate,Developed a recommendation engine improving click-through rate by 39%. // Published research on PyTorch applied to time-series forecasting. // Developed a recommendation engine improving click-through rate by 24%.,"Data scientist with 3 years transforming raw data into actionable insights using Deep Learning, dbt, PyTorch.",public_profile_anonymized
RES-0493,Full-Stack Developer,3,Master's,B.Sc. Computer Science,React|Python|AWS|MongoDB|HTML5|TypeScript|REST API|GraphQL|Docker|JavaScript|Microservices|Agile,Meta Front-End Developer|Google Associate Cloud Engineer,Integrated third-party payment gateway handling 45k transactions/month.,"Full-stack engineer with 3+ years building and shipping products with AWS, Agile, Python.",synthetic
RES-0522,Full-Stack Developer,5,Bootcamp/Certification,B.Sc. Computer Science,FastAPI|TailwindCSS|REST API|JavaScript|Next.js|Agile|Microservices|GitHub Actions|Scrum|Redis|Kubernetes,Google Associate Cloud Engineer,Shipped end-to-end feature that increased user retention by 27%.,"Full-stack engineer with 5+ years building and shipping products with Redis, Microservices, REST API.",kaggle_anonymized
RES-0878,Cloud Architect,2,Associate's,M.B.A. Technology Management,Terraform|Azure|Auto Scaling|AWS|Cost Optimisation|IAM|Istio|Ansible|GDPR|Zero-Trust Security,Google Professional Cloud Architect|AWS Solutions Architect Professional,"Designed a multi-region, active-active architecture with 99.53% availability SLA.","Solutions architect with 2 years architecting multi-cloud environments with AWS, Cost Optimisation, Terraform.",synthetic
RES-0369,Frontend Developer,5,Master's,B.A. Web Design,Accessibility|Nuxt.js|Responsive Design|REST API|CSS3|Zustand|GraphQL|Next.js|Chart.js|PWA|Performance Optimisation|Storybook,,Developed a reusable component library with 8+ components used across 2 products. // Implemented WCAG 2.1 AA accessibility standards across the entire application.,"Creative UI engineer with 5+ years of experience crafting pixel-perfect interfaces using CSS3, REST API, Performance Optimisation.",synthetic
RES-0974,Mobile Developer,4,Master's,B.Tech Mobile Computing,REST API|GraphQL|Play Store Deployment|App Store Deployment|Xcode|Android Studio|Flutter|Firebase|Swift|Java|Analytics|UI Testing,Google Associate Android Developer,"Achieved 57% reduction in app cold-start time through performance profiling. // Integrated offline-first architecture, improving UX in low-connectivity regions. // Achieved 27% reduction in app cold-start time through performance profiling.","Experienced app engineer with 4+ years shipping production mobile apps in UI Testing, Firebase, Xcode.",public_profile_anonymized
RES-0388,Full-Stack Developer,4,Bachelor's,M.Sc. Software Engineering,AWS|CI/CD|TailwindCSS|PostgreSQL|REST API|GraphQL|Elasticsearch|Kubernetes,AWS Certified Developer,Delivered a full-stack SaaS platform from design to production in 45 months. // Integrated third-party payment gateway handling 8k transactions/month.,"Versatile engineer comfortable across the stack with 4 years of experience in PostgreSQL, REST API, GraphQL.",public_profile_anonymized
RES-0994,Mobile Developer,4,Associate's,B.Sc. Computer Science,Xcode|Play Store Deployment|Swift|Flutter|React Native|Dart|Android|Firebase|Fastlane|Realm,,"Integrated offline-first architecture, improving UX in low-connectivity regions.","Mobile engineer with 4 years crafting performant iOS and Android experiences with React Native, Swift, Xcode.",kaggle_anonymized
RES-0428,Full-Stack Developer,10,Master's,M.Sc. Software Engineering,React|TailwindCSS|Docker|MongoDB|HTML5|CSS3|Next.js|CI/CD|PostgreSQL|GraphQL|Git|Elasticsearch|Microservices|Linux|Redis|Agile,,Delivered a full-stack SaaS platform from design to production in 40 months. // Built an internal tooling dashboard serving 17+ engineering teams. // Integrated third-party payment gateway handling 43k transactions/month.,"Versatile engineer comfortable across the stack with 10 years of experience in Microservices, React, CI/CD.",kaggle_anonymized
RES-0861,Cloud Architect,9,Bachelor's,M.B.A. Technology Management,AWS|VPC|Serverless|Docker|Cloud Security|Multi-cloud Strategy|Azure|Cost Optimisation|Zero-Trust Security|Service Mesh|Istio|Pulumi,TOGAF 9|AWS Solutions Architect Professional,Established cloud governance framework adopted across 44 business units.,"Solutions architect with 9 years architecting multi-cloud environments with Azure, AWS, Istio.",public_profile_anonymized
RES-0797,DevOps Engineer,12,Associate's,M.Sc. Cloud Computing,Python|Monitoring|Helm|Linux|Prometheus|Docker|Terraform|Kubernetes|AWS|GitHub Actions|Jaeger|ArgoCD|HAProxy,HashiCorp Terraform Associate,Achieved 39% cost reduction by right-sizing cloud infrastructure on Linux. // Containerised 32 legacy services with Docker and orchestrated with Kubernetes. // Reduced deployment lead time from 32 days to 7 hours by redesigning CI/CD pipeline.,"DevOps engineer with 12 years automating infrastructure and improving deployment pipelines using GitHub Actions, AWS, Monitoring.",kaggle_anonymized
RES-0784,DevOps Engineer,6,Master's,B.Tech Computer Engineering,Infrastructure as Code|Python|Site Reliability Engineering|Jenkins|Monitoring|Grafana|Cost Optimisation|Nginx|Flux|Service Mesh|Security Hardening,,Achieved 37% cost reduction by right-sizing cloud infrastructure on Python. // Improved system uptime to 99.96% SLA through improved monitoring and alerting. // Improved system uptime to 99.8% SLA through improved monitoring and alerting.,"Infrastructure engineer with 6 years designing cloud-native platforms with Service Mesh, Infrastructure as Code, Flux.",synthetic
RES-0860,Cloud Architect,8,Bootcamp/Certification,B.Sc. Computer Science,Serverless|GCP|Terraform|Disaster Recovery|Cloud Security|Kubernetes|IAM|Helm|CDK|Bash|FinOps|CloudFormation|SOC 2,TOGAF 9|AWS Solutions Architect Professional,Architected serverless data pipeline processing 6M events/day. // Established cloud governance framework adopted across 46 business units. // Established cloud governance framework adopted across 49 business units.,"Cloud architect with 8 years designing resilient, scalable cloud platforms on FinOps, Disaster Recovery, Helm.",public_profile_anonymized
RES-0415,Full-Stack Developer,2,Master's,M.Sc. Software Engineering,TypeScript|REST API|GraphQL|FastAPI|CSS3|Next.js|Docker|CI/CD|Python|Nginx|Elasticsearch,Google Associate Cloud Engineer|AWS Certified Developer,Integrated third-party payment gateway handling 15k transactions/month. // Delivered a full-stack SaaS platform from design to production in 35 months. // Integrated third-party payment gateway handling 45k transactions/month.,"Full-stack engineer with 2+ years building and shipping products with Docker, Python, Elasticsearch.",synthetic
RES-0870,Cloud Architect,3,Bootcamp/Certification,M.Sc. Computer Science,GCP|Multi-cloud Strategy|VPC|Lambda|Terraform|Vault|ArgoCD|Enterprise Architecture|Pulumi,,Architected serverless data pipeline processing 13M events/day.,"Solutions architect with 3 years architecting multi-cloud environments with Multi-cloud Strategy, VPC, Terraform.",kaggle_anonymized
RES-0303,Frontend Developer,4,Ph.D.,B.A. Web Design,Angular|Cross-browser Compatibility|Webpack|Vue.js|CSS3|React|Nuxt.js|JavaScript|D3.js|Git|Figma|GitHub|Cypress,AWS Cloud Practitioner|Google UX Design,Reduced bundle size by 47% through code splitting and lazy loading. // Reduced bundle size by 27% through code splitting and lazy loading.,"Passionate frontend engineer with 4 years of hands-on experience in CSS3, Git, Figma.",synthetic
RES-0680,Data Scientist,8,Bachelor's,M.Sc. Data Science,NumPy|Jupyter|Deep Learning|Python|Matplotlib|TensorFlow|Seaborn|Azure ML|Docker|Hadoop|Power BI|Hypothesis Testing|AWS SageMaker,IBM Data Science Professional,Automated ETL pipelines reducing manual data preparation by 58%. // Published research on Pandas applied to time-series forecasting.,"Analytical data scientist with 8+ years of experience in Azure ML, Seaborn, Matplotlib and statistical modelling.",synthetic
RES-0768,DevOps Engineer,1,Bachelor's,M.Sc. Cloud Computing,Jenkins|Helm|AWS|Grafana|Linux|Python|Infrastructure as Code|Capacity Planning|Jaeger,CKA (Kubernetes)|AWS DevOps Engineer Professional,Achieved 34% cost reduction by right-sizing cloud infrastructure on Jenkins. // Improved system uptime to 99.63% SLA through improved monitoring and alerting. // Achieved 30% cost reduction by right-sizing cloud infrastructure on Monitoring.,"Reliability-focused DevOps professional with 1+ years of experience in Python, Helm, Jenkins.",public_profile_anonymized
RES-0918,Cloud Architect,8,Ph.D.,M.Sc. Computer Science,GCP|AWS|VPC|Terraform|Cloud Security|High Availability|Multi-cloud Strategy|Kubernetes|Docker|Auto Scaling|Disaster Recovery|Compliance|Solution Design|CDK|Bash,Azure Solutions Architect Expert,"Architected serverless data pipeline processing 15M events/day. // Designed a multi-region, active-active architecture with 99.67% availability SLA.","Solutions architect with 8 years architecting multi-cloud environments with Terraform, Kubernetes, Docker.",synthetic
RES-0097,Backend Developer,6,Bootcamp/Certification,B.Tech Information Technology,C#|GCP|GraphQL|SQL|Docker|PostgreSQL|Azure|Celery|pytest|Linux|OAuth2,,"Led migration of monolith to microservices, reducing deployment time by 59%. // Optimised PostgreSQL query performance, cutting average response time by 26%. // Led migration of monolith to microservices, reducing deployment time by 46%.","Experienced server-side developer specialising in GraphQL, GCP, PostgreSQL with 6 years of professional experience.",kaggle_anonymized
RES-0695,Data Scientist,2,Ph.D.,B.Sc. Mathematics,Matplotlib|Jupyter|Seaborn|Scikit-learn|R|PyTorch|Data Visualisation|NumPy|Docker|Bayesian Statistics|Hadoop|Spark|AWS SageMaker,,"Developed a recommendation engine improving click-through rate by 23%. // Built a churn prediction model with 43% accuracy, saving 6k ARR.","Analytical data scientist with 2+ years of experience in Bayesian Statistics, Spark, Matplotlib and statistical modelling.",synthetic
RES-0551,Data Scientist,3,Master's,B.Sc. Mathematics,PyTorch|Data Visualisation|Natural Language Processing|Feature Engineering|Seaborn|Experiment Tracking|Looker|AWS SageMaker,Google Professional Data Engineer,"Automated ETL pipelines reducing manual data preparation by 40%. // Built a churn prediction model with 39% accuracy, saving 34k ARR. // Developed a recommendation engine improving click-through rate by 17%.","Data scientist with 3 years transforming raw data into actionable insights using Experiment Tracking, AWS SageMaker, Seaborn.",synthetic
RES-0470,Full-Stack Developer,3,Master's,B.Tech Computer Engineering,AWS|TypeScript|Express.js|Next.js|Node.js|MongoDB|Git|GraphQL|Elasticsearch|Redis,AWS Certified Developer|Meta Front-End Developer,Delivered a full-stack SaaS platform from design to production in 43 months. // Integrated third-party payment gateway handling 22k transactions/month.,"Full-stack developer with 3 years delivering end-to-end web applications using Node.js, AWS, MongoDB.",kaggle_anonymized
RES-0328,Frontend Developer,1,Bachelor's,B.A. Web Design,JavaScript|GraphQL|SASS|Webpack|Cross-browser Compatibility|Angular|Accessibility|D3.js|Git,,Reduced bundle size by 23% through code splitting and lazy loading.,"Frontend developer with 1 years building responsive, accessible UIs with Angular, Git, Cross-browser Compatibility.",public_profile_anonymized
RES-0710,DevOps Engineer,1,Master's,B.E. Information Technology,Site Reliability Engineering|Ansible|Prometheus|Infrastructure as Code|Grafana|CI/CD|GCP|Docker|Kubernetes|AWS|Azure|GitHub Actions|Cost Optimisation|Service Mesh,AWS DevOps Engineer Professional|HashiCorp Terraform Associate,Improved system uptime to 99.5% SLA through improved monitoring and alerting. // Reduced deployment lead time from 20 days to 3 hours by redesigning CI/CD pipeline. // Improved system uptime to 99.8% SLA through improved monitoring and alerting.,"Reliability-focused DevOps professional with 1+ years of experience in Service Mesh, Kubernetes, CI/CD.",kaggle_anonymized
RES-0947,Mobile Developer,11,Associate's,Diploma in Mobile App Development,Android|Play Store Deployment|Kotlin|REST API|Dart|Flutter|UI Testing|Detox|Redux,Apple App Development with Swift,"Integrated offline-first architecture, improving UX in low-connectivity regions. // Achieved 43% reduction in app cold-start time through performance profiling. // Achieved 17% reduction in app cold-start time through performance profiling.","Mobile developer with 11 years building cross-platform and native apps using Android, UI Testing, Kotlin.",synthetic
RES-0279,Frontend Developer,3,Associate's,Diploma in Web Development,GraphQL|TailwindCSS|REST API|Zustand|JavaScript|Redux|Storybook|PWA|Web Animations|Jest|Performance Optimisation|Cypress,,"Rebuilt company dashboard in Cross-browser Compatibility, improving load time by 23%.","Frontend developer with 3 years building responsive, accessible UIs with GraphQL, TailwindCSS, Web Animations.",synthetic
RES-0529,Full-Stack Developer,6,Master's,B.Tech Computer Engineering,Redis|PostgreSQL|Python|FastAPI|AWS|JavaScript|Next.js|Express.js|GraphQL|CI/CD|Git|Elasticsearch|WebSockets|pytest|Nginx,AWS Certified Developer|Meta Front-End Developer,Shipped end-to-end feature that increased user retention by 43%. // Built an internal tooling dashboard serving 36+ engineering teams.,"Versatile engineer comfortable across the stack with 6 years of experience in Nginx, WebSockets, Git.",synthetic
RES-0275,Frontend Developer,3,Bootcamp/Certification,B.Tech Information Technology,Vue.js|Accessibility|CSS3|Responsive Design|REST API|Webpack|Cypress|CI/CD,AWS Cloud Practitioner,Developed a reusable component library with 36+ components used across 4 products. // Implemented WCAG 2.1 AA accessibility standards across the entire application.,"Creative UI engineer with 3+ years of experience crafting pixel-perfect interfaces using Vue.js, Accessibility, REST API.",synthetic
RES-0762,DevOps Engineer,10,Ph.D.,B.Sc. Computer Science,Helm|Ansible|AWS|Prometheus|Monitoring|Docker|GCP|Jaeger|OpenTelemetry|Flux|ArgoCD,CKA (Kubernetes),Reduced deployment lead time from 7 days to 10 hours by redesigning CI/CD pipeline. // Reduced deployment lead time from 35 days to 5 hours by redesigning CI/CD pipeline. // Containerised 43 legacy services with Docker and orchestrated with Kubernetes.,"Infrastructure engineer with 10 years designing cloud-native platforms with Monitoring, Flux, Jaeger.",synthetic
RES-0876,Cloud Architect,11,Master's,B.Sc. Computer Science,Load Balancing|Cloud Security|Lambda|VPC|Multi-cloud Strategy|Docker|Cost Optimisation|Disaster Recovery|Kubernetes|IAM|Serverless|GCP|FinOps|SOC 2|Ansible|Zero-Trust Security,AWS Solutions Architect Professional,"Established cloud governance framework adopted across 9 business units. // Led cloud migration of 14-service estate to AWS, cutting TCO by 44%.","Senior cloud architect with 11+ years leading enterprise-scale cloud migrations using Ansible, Cost Optimisation, Kubernetes.",synthetic
RES-0311,Frontend Developer,7,Master's,B.Tech Information Technology,SASS|Next.js|Accessibility|HTML5|GraphQL|Nuxt.js|Web Animations|Performance Optimisation|Storybook|SEO,,Developed a reusable component library with 21+ components used across 6 products. // Developed a reusable component library with 26+ components used across 8 products.,"Passionate frontend engineer with 7 years of hands-on experience in Nuxt.js, Performance Optimisation, SEO.",kaggle_anonymized
RES-0899,Cloud Architect,2,Bachelor's,B.Sc. Computer Science,Cloud Security|Disaster Recovery|Serverless|GCP|Azure|AWS|Multi-cloud Strategy|Terraform|Lambda|High Availability|Cost Optimisation|CloudFormation|Enterprise Architecture|Solution Design|Pulumi,Azure Solutions Architect Expert,"Established cloud governance framework adopted across 2 business units. // Established cloud governance framework adopted across 30 business units. // Led cloud migration of 6-service estate to AWS, cutting TCO by 49%.","Cloud architect with 2 years designing resilient, scalable cloud platforms on Pulumi, Multi-cloud Strategy, Disaster Recovery.",synthetic
RES-0850,Cloud Architect,10,Ph.D.,B.Sc. Computer Science,Serverless|Disaster Recovery|Azure|Terraform|Load Balancing|Istio|ArgoCD|Ansible,TOGAF 9,"Designed a multi-region, active-active architecture with 99.53% availability SLA. // Designed a multi-region, active-active architecture with 99.51% availability SLA. // Led cloud migration of 35-service estate to AWS, cutting TCO by 33%.","Cloud architect with 10 years designing resilient, scalable cloud platforms on Azure, Disaster Recovery, Terraform.",synthetic
RES-0300,Frontend Developer,2,Bootcamp/Certification,B.Sc. Computer Science,HTML5|Nuxt.js|Zustand|TailwindCSS|React|TypeScript|Webpack|Accessibility|Next.js|GraphQL|Vite|REST API|D3.js|Git|Jest,AWS Cloud Practitioner,"Rebuilt company dashboard in Redux, improving load time by 41%.","Creative UI engineer with 2+ years of experience crafting pixel-perfect interfaces using Nuxt.js, Next.js, D3.js.",synthetic
RES-0464,Full-Stack Developer,7,Bootcamp/Certification,B.E. Software Engineering,AWS|CSS3|CI/CD|TailwindCSS|React|Next.js|JavaScript|GraphQL|Node.js|pytest|Elasticsearch|OAuth2|Agile,Meta Front-End Developer,Integrated third-party payment gateway handling 31k transactions/month. // Built an internal tooling dashboard serving 17+ engineering teams. // Built an internal tooling dashboard serving 39+ engineering teams.,"Full-stack developer with 7 years delivering end-to-end web applications using CSS3, Agile, pytest.",kaggle_anonymized
RES-0351,Frontend Developer,6,Bootcamp/Certification,B.Tech Information Technology,Nuxt.js|Responsive Design|Redux|JavaScript|HTML5|CSS3|SASS|Zustand|REST API|Cross-browser Compatibility|Vue.js|Angular|Node.js|PWA,,Reduced bundle size by 44% through code splitting and lazy loading. // Implemented WCAG 2.1 AA accessibility standards across the entire application. // Implemented WCAG 2.1 AA accessibility standards across the entire application.,"Passionate frontend engineer with 6 years of hands-on experience in Responsive Design, CSS3, Angular.",synthetic
RES-0528,Full-Stack Developer,5,Associate's,B.Tech Computer Engineering,CSS3|CI/CD|AWS|REST API|TailwindCSS|JavaScript|WebSockets|Microservices|Elasticsearch,Google Associate Cloud Engineer|AWS Certified Developer,Built an internal tooling dashboard serving 10+ engineering teams. // Integrated third-party payment gateway handling 32k transactions/month.,"Full-stack developer with 5 years delivering end-to-end web applications using TailwindCSS, JavaScript, CSS3.",synthetic
RES-0418,Full-Stack Developer,2,Associate's,M.Sc. Software Engineering,TypeScript|CI/CD|React|CSS3|FastAPI|Elasticsearch|Jest,Google Associate Cloud Engineer|Meta Front-End Developer,Delivered a full-stack SaaS platform from design to production in 18 months. // Integrated third-party payment gateway handling 4k transactions/month. // Integrated third-party payment gateway handling 32k transactions/month.,"Versatile engineer comfortable across the stack with 2 years of experience in TypeScript, React, CI/CD.",synthetic
RES-0550,Full-Stack Developer,4,Master's,B.Tech Computer Engineering,MongoDB|Next.js|CSS3|Python|HTML5|TailwindCSS|pytest|Terraform,Meta Front-End Developer|Google Associate Cloud Engineer,Integrated third-party payment gateway handling 35k transactions/month. // Shipped end-to-end feature that increased user retention by 23%. // Integrated third-party payment gateway handling 11k transactions/month.,"Full-stack engineer with 4+ years building and shipping products with Python, HTML5, pytest.",public_profile_anonymized
RES-0409,Full-Stack Developer,12,Bootcamp/Certification,B.Sc. Computer Science,TailwindCSS|Python|MongoDB|FastAPI|PostgreSQL|Node.js|Next.js|pytest|Scrum|Kubernetes|JWT,,Integrated third-party payment gateway handling 32k transactions/month. // Built an internal tooling dashboard serving 22+ engineering teams. // Shipped end-to-end feature that increased user retention by 50%.,"Full-stack developer with 12 years delivering end-to-end web applications using Kubernetes, pytest, TailwindCSS.",synthetic
RES-0411,Full-Stack Developer,7,Ph.D.,B.E. Software Engineering,MongoDB|Git|AWS|CI/CD|TailwindCSS|PostgreSQL|Kubernetes|JWT|Agile|pytest|Microservices,AWS Certified Developer|Meta Front-End Developer,Integrated third-party payment gateway handling 13k transactions/month.,"Versatile engineer comfortable across the stack with 7 years of experience in Kubernetes, pytest, AWS.",kaggle_anonymized
RES-0256,Frontend Developer,7,Bootcamp/Certification,B.Tech Information Technology,GraphQL|SASS|Next.js|Vite|Zustand|Responsive Design|TypeScript|Web Animations|PWA|Cypress|Chart.js|SEO,,"Developed a reusable component library with 49+ components used across 8 products. // Rebuilt company dashboard in GraphQL, improving load time by 59%.","Frontend developer with 7 years building responsive, accessible UIs with Next.js, Responsive Design, SEO.",synthetic
RES-0856,Cloud Architect,5,Master's,M.B.A. Technology Management,Lambda|Docker|Cloud Security|VPC|Auto Scaling|Multi-cloud Strategy|SOC 2|Zero-Trust Security|Istio,Azure Solutions Architect Expert,"Led cloud migration of 3-service estate to AWS, cutting TCO by 20%.","Solutions architect with 5 years architecting multi-cloud environments with Cloud Security, Istio, VPC.",synthetic
RES-0921,Cloud Architect,12,Ph.D.,M.Sc. Cloud Computing,GCP|High Availability|Serverless|Lambda|Kubernetes|Disaster Recovery|Python|CDK|Pulumi|Service Mesh,TOGAF 9|Azure Solutions Architect Expert,"Architected serverless data pipeline processing 2M events/day. // Designed a multi-region, active-active architecture with 99.51% availability SLA. // Led cloud migration of 13-service estate to AWS, cutting TCO by 37%.","Solutions architect with 12 years architecting multi-cloud environments with GCP, Python, High Availability.",public_profile_anonymized
RES-0638,Data Scientist,2,Bootcamp/Certification,Ph.D. Computer Science,R|Pandas|SQL|Scikit-learn|Data Visualisation|TensorFlow|Natural Language Processing|Statistics|NumPy|Matplotlib|Bayesian Statistics|MLflow,AWS Machine Learning Specialty|IBM Data Science Professional,Developed a recommendation engine improving click-through rate by 60%. // Automated ETL pipelines reducing manual data preparation by 23%. // Developed a recommendation engine improving click-through rate by 38%.,"Data scientist with 2 years transforming raw data into actionable insights using SQL, MLflow, TensorFlow.",synthetic
RES-0867,Cloud Architect,5,Bachelor's,M.Sc. Cloud Computing,Multi-cloud Strategy|Lambda|Kubernetes|Cost Optimisation|Serverless|Docker|Ansible|Solution Design|SOC 2|ArgoCD|Python|Istio,AWS Solutions Architect Professional|Azure Solutions Architect Expert,Architected serverless data pipeline processing 45M events/day.,"Cloud architect with 5 years designing resilient, scalable cloud platforms on Kubernetes, Istio, SOC 2.",synthetic
RES-0151,Backend Developer,1,Ph.D.,B.E. Software Engineering,FastAPI|Ruby|Express.js|Python|Azure|AWS|Django|MongoDB|MySQL|Bash|API Design|Celery|Apache Kafka|RabbitMQ|Jenkins,,"Built a real-time notification service using REST API and message queues. // Led migration of monolith to microservices, reducing deployment time by 35%.","Results-driven backend developer with 1+ years designing and maintaining distributed systems in Bash, RabbitMQ, Ruby.",public_profile_anonymized
RES-0955,Mobile Developer,5,Ph.D.,B.Tech Mobile Computing,Firebase|Play Store Deployment|Swift|Kotlin|Android Studio|Xcode|Performance Profiling|Offline Support|UI Testing|Unit Testing,Google Associate Android Developer|Apple App Development with Swift,Reduced app crash rate from 5% to 1.0% through systematic debugging.,"Experienced app engineer with 5+ years shipping production mobile apps in Play Store Deployment, Swift, UI Testing.",kaggle_anonymized
RES-0049,Backend Developer,1,Ph.D.,B.Tech Information Technology,Message Queues|Node.js|Express.js|Spring Boot|MySQL|REST API|MongoDB|PostgreSQL|RabbitMQ|JWT|Unit Testing|Nginx,,"Built a real-time notification service using Message Queues and message queues. // Optimised PostgreSQL query performance, cutting average response time by 46%. // Built a real-time notification service using MongoDB and message queues.","Experienced server-side developer specialising in REST API, Node.js, Unit Testing with 1 years of professional experience.",synthetic
RES-0572,Data Scientist,7,Ph.D.,B.Sc. Mathematics,A/B Testing|Machine Learning|Statistics|Jupyter|PyTorch|Feature Engineering|Python|SQL|Pandas|Seaborn|Airflow|GCP Vertex AI|Hadoop,,Developed a recommendation engine improving click-through rate by 35%.,"Data scientist with 7 years transforming raw data into actionable insights using SQL, Airflow, Statistics.",kaggle_anonymized
RES-0771,DevOps Engineer,9,Associate's,B.Tech Computer Engineering,Azure|CI/CD|GCP|Prometheus|AWS|Kubernetes|Linux|Infrastructure as Code|GitOps|OpenTelemetry|Packer|ArgoCD|Cost Optimisation,CKA (Kubernetes),Achieved 26% cost reduction by right-sizing cloud infrastructure on Infrastructure as Code. // Improved system uptime to 99.9% SLA through improved monitoring and alerting.,"Infrastructure engineer with 9 years designing cloud-native platforms with Kubernetes, GCP, GitOps.",public_profile_anonymized
RES-0486,Full-Stack Developer,8,Bootcamp/Certification,B.Sc. Computer Science,CSS3|REST API|Docker|CI/CD|Express.js|PostgreSQL|Next.js|FastAPI|GraphQL|AWS|Jest|Elasticsearch|Scrum|GitHub Actions,,Shipped end-to-end feature that increased user retention by 23%. // Built an internal tooling dashboard serving 42+ engineering teams. // Integrated third-party payment gateway handling 43k transactions/month.,"Versatile engineer comfortable across the stack with 8 years of experience in CSS3, GraphQL, CI/CD.",kaggle_anonymized
RES-0538,Full-Stack Developer,2,Bootcamp/Certification,B.Tech Computer Engineering,CSS3|JavaScript|Git|HTML5|React|REST API|PostgreSQL|AWS|Node.js|MongoDB|WebSockets|Terraform,,Built an internal tooling dashboard serving 23+ engineering teams. // Shipped end-to-end feature that increased user retention by 25%. // Delivered a full-stack SaaS platform from design to production in 47 months.,"Full-stack developer with 2 years delivering end-to-end web applications using JavaScript, Node.js, PostgreSQL.",public_profile_anonymized
RES-0944,Mobile Developer,4,Master's,Diploma in Mobile App Development,Dart|Flutter|GraphQL|iOS|App Store Deployment|Android|React Native|Play Store Deployment|Kotlin|Swift|Xcode|REST API|Fastlane|In-App Purchases|UI Testing|GPS,AWS Mobile Developer,Achieved 28% reduction in app cold-start time through performance profiling.,"Experienced app engineer with 4+ years shipping production mobile apps in In-App Purchases, App Store Deployment, REST API.",kaggle_anonymized
RES-0506,Full-Stack Developer,9,Bachelor's,B.Tech Computer Engineering,FastAPI|Next.js|HTML5|Node.js|Docker|React|AWS|pytest|OAuth2|Terraform|GitHub Actions,,Shipped end-to-end feature that increased user retention by 50%. // Integrated third-party payment gateway handling 23k transactions/month.,"Full-stack developer with 9 years delivering end-to-end web applications using Docker, FastAPI, AWS.",synthetic
RES-0413,Full-Stack Developer,5,Master's,B.Tech Computer Engineering,Docker|FastAPI|MongoDB|JavaScript|React|CI/CD|Redis|Kubernetes|Terraform|Agile,Google Associate Cloud Engineer|Meta Front-End Developer,Delivered a full-stack SaaS platform from design to production in 46 months. // Shipped end-to-end feature that increased user retention by 46%.,"Full-stack engineer with 5+ years building and shipping products with Docker, FastAPI, React.",synthetic
RES-0875,Cloud Architect,4,Bachelor's,B.Sc. Computer Science,Auto Scaling|Cost Optimisation|VPC|Multi-cloud Strategy|Cloud Security|High Availability|Azure|Kubernetes|Lambda|GCP|Docker|Zero-Trust Security|Istio,AWS Solutions Architect Professional|TOGAF 9,"Architected serverless data pipeline processing 5M events/day. // Led cloud migration of 25-service estate to AWS, cutting TCO by 24%. // Designed a multi-region, active-active architecture with 99.83% availability SLA.","Senior cloud architect with 4+ years leading enterprise-scale cloud migrations using GCP, Istio, Kubernetes.",synthetic
RES-0966,Mobile Developer,5,Ph.D.,B.E. Software Engineering,Dart|Push Notifications|Flutter|iOS|Objective-C|Kotlin|Swift|React Native|Firebase|REST API|Detox|Accessibility,,Achieved 37% reduction in app cold-start time through performance profiling.,"Experienced app engineer with 5+ years shipping production mobile apps in Push Notifications, Swift, Kotlin.",synthetic
RES-0532,Full-Stack Developer,2,Bachelor's,B.Tech Computer Engineering,JavaScript|REST API|MongoDB|PostgreSQL|GraphQL|Next.js|CI/CD|Express.js|FastAPI|AWS|Redis|JWT|Microservices|Nginx,AWS Certified Developer,Delivered a full-stack SaaS platform from design to production in 50 months. // Delivered a full-stack SaaS platform from design to production in 24 months.,"Full-stack developer with 2 years delivering end-to-end web applications using JavaScript, CI/CD, GraphQL.",public_profile_anonymized
RES-0138,Backend Developer,4,Associate's,B.E. Software Engineering,PostgreSQL|Elasticsearch|Express.js|NestJS|C#|Message Queues|GraphQL|Ruby|AWS|CI/CD|OAuth2|GitHub Actions|Terraform,AWS Certified Developer|MongoDB Associate,Built a real-time notification service using GCP and message queues.,"Backend engineer with 4 years of experience building scalable APIs and microservices using Ruby, PostgreSQL, Express.js.",kaggle_anonymized
